Serial No.,Stocks allowed for MIS,Margin allowed,,Serial No.,Stocks not allowed for MIS,,Serial No.,Stocks which were allowed but temporarily banned,Reason
1,3MINDIA:EQ,3X,,1,21STCENMGM,,,,
2,AARTIIND:EQ,3X,,2,3IINFOTECH,,,,
3,ABB:EQ,3X,,3,5PAISA,,,,
4,ABFRL:EQ,3X,,4,8KMILES,,,,
5,ACC:EQ,12.5X,,5,A2ZINFRA,,,,
6,ACE:EQ,3X,,6,AANCHALISP,,,,
7,ADANIENT:EQ,5X,,7,AARVEEDEN,,,,
8,ADANIPORTS:EQ,5X,,8,ABAN,,,,
9,ADANIPOWER:EQ,5X,,9,ABCBEARS,,,,
10,AIAENG:EQ,3X,,10,ABGSHIP,,,,
11,AJANTPHARM:EQ,12.5X,,11,ABSLNN50ET,,,,
12,AKZOINDIA:EQ,3X,,12,ACIASIA,,,,
13,ALBK:EQ,11X,,13,ACKNIT,,,,
14,ALKEM:EQ,3X,,14,ADANIGAS,,,,
15,ALLCARGO:EQ,3X,,15,ADANIGREEN,,,,
16,AMARAJABAT:EQ,12.5X,,16,ADANITRANS,,,,
17,AMBUJACEM:EQ,12.5X,,17,ADFFOODS,,,,
18,ANANTRAJ:EQ,3X,,18,ADHUNIK,,,,
19,APOLLOHOSP:EQ,5X,,19,ADHUNIKIND,,,,
20,APOLLOTYRE:EQ,12.5X,,20,ADLABS,,,,
21,ARVIND:EQ,12.5X,,21,ADORWELD,,,,
22,ASAHIINDIA:EQ,3X,,22,ADSL,,,,
23,ASHOKLEY:EQ,12.5X,,23,ADVENZYMES,,,,
24,ASIANPAINT:EQ,12.5X,,24,AGARIND,,,,
25,ASTRAZEN:EQ,3X,,25,AGCNET,,,,
26,ATFL:EQ,3X,,26,AGIIL,,,,
27,ATUL:EQ,3X,,27,AGRITECH,,,,
28,AUBANK:EQ,3X,,28,AHLWEST,,,,
29,AUROPHARMA:EQ,12.5X,,29,AIMCOPEST,,,,
30,AUTOAXLES:EQ,3X,,30,AKSCHEM,,,,
31,AVANTIFEED:EQ,3X,,31,ALANKIT,,,,
32,AXISBANK:EQ,12.5X,,32,ALBERTDAVD,,,,
33,BAJAJ-AUTO:EQ,12.5X,,33,ALCHEM,,,,
34,BAJAJELEC:EQ,3X,,34,ALKALI,,,,
35,BAJAJFINSV:EQ,12.5X,,35,ALLSEC,,,,
36,BAJAJHLDNG:EQ,3X,,36,ALMONDZ,,,,
37,BAJFINANCE:EQ,12.5X,,37,ALOKTEXT,,,,
38,BALKRISIND:EQ,12.5X,,38,ALPA,,,,
39,BALRAMCHIN:EQ,3X,,39,ALPHAGEO,,,,
40,BANCOINDIA:EQ,3X,,40,ALPSINDUS,,,,
41,BANKBARODA:EQ,12.5X,,41,ALUFLUOR,,,,
42,BANKBEES:EQ,10X,,42,AMAL,,,,
43,BANKINDIA:EQ,3X,,43,AMBIKCO,,,,
44,BATAINDIA:EQ,12.5X,,44,AMDIND,,,,
45,BBTC:EQ,3X,,45,AMRITCORP,,,,
46,BEL:EQ,12.5X,,46,AMRUTANJAN,,,,
47,BEML:EQ,12.5X,,47,AMTEKAUTO,,,,
48,BERGEPAINT:EQ,12.5X,,48,AMTL,,,,
49,BFUTILITIE:EQ,3X,,49,ANDHRACEMT,,,,
50,BHARATFIN:EQ,12.5X,,50,ANDHRAPET,,,,
51,BHARATFORG:EQ,12.5X,,51,ANGIND,,,,
52,BHARTIARTL:EQ,5X,,52,ANIKINDS,,,,
53,BHEL:EQ,5X,,53,ANKITMETAL,,,,
54,BIOCON:EQ,12.5X,,54,ANSALAPI,,,,
55,BLISSGVS:EQ,3X,,55,ANSALBU,,,,
56,BLKASHYAP:EQ,3X,,56,ANSALHSG,,,,
57,BLUEDART:EQ,3X,,57,ANSHNCO,,,,
58,BOSCHLTD:EQ,12.5X,,58,ANSLAPI,,,,
59,BPCL:EQ,12.5X,,59,ANTGRAPHIC,,,,
60,BRITANNIA:EQ,12.5X,,60,APCL,,,,
61,BSE:EQ,3X,,61,APEX,,,,
62,CADILAHC:EQ,12.5X,,62,APLLTD,,,,
63,CANBK:EQ,12.5X,,63,APOLLO,,,,
64,CANFINHOME:EQ,11.1X,,64,APOLSINHOT,,,,
65,CAPACITE:EQ,3X,,65,APTECHT,,,,
66,CASTROLIND:EQ,12.5X,,66,ARCHIDPLY,,,,
67,CDSL:EQ,3X,,67,ARCHIES,,,,
68,CEATLTD:EQ,12.5X,,68,ARCOTECH,,,,
69,CENTRUM:EQ,3X,,69,AREALTY,,,,
70,CENTURYPLY:EQ,3X,,70,AREYDRG,,,,
71,CENTURYTEX:EQ,12.5X,,71,ARIES,,,,
72,CEREBRAINT:EQ,3X,,72,ARIHANT,,,,
73,CESC:EQ,12.5X,,73,ARIHCAPM,,,,
74,CGCL:EQ,3X,,74,ARMANFIN,,,,
75,CGPOWER:EQ,5X,,75,ARNAVCORP,,,,
76,CHENNPETRO:EQ,12.5X,,76,AROGRANITE,,,,
77,CHOLAFIN:EQ,12.5X,,77,ARROWCOAT,,,,
78,CIPLA:EQ,12.5X,,78,ARROWGREEN,,,,
79,COALINDIA:EQ,3X,,79,ARROWTEX,,,,
80,COCHINSHIP:EQ,12.5X,,80,ARSHIYA,,,,
81,COFFEEDAY:EQ,3X,,81,ARSSINFRA,,,,
82,COLPAL:EQ,3X,,82,ARVINDFASN,,,,
83,CONCOR:EQ,12.5X,,83,ARVINDREM,,,,
84,COROMANDEL:EQ,12.5X,,84,ARVINFRA,,,,
85,COX&KINGS:EQ,3X,,85,ASAHISONG,,,,
86,CRISIL:EQ,3X,,86,ASAL,,,,
87,CROMPTON:EQ,3X,,87,ASHAPURMIN,,,,
88,CUB:EQ,3X,,88,ASHIANA,,,,
89,CUMMINSIND:EQ,3X,,89,ASIANOI,,,,
90,CYIENT:EQ,12.5X,,90,ASIANTILES,,,,
91,DAAWAT:EQ,3X,,91,ASSAMCO,,,,
92,DABUR:EQ,3X,,92,ASSOSTNB,,,,
93,DALMIASUG:EQ,12.5X,,93,ATHARVENT,,,,
94,DBCORP:EQ,3X,,94,ATISHAY,,,,
95,DCBBANK:EQ,3X,,95,ATLANTA,,,,
96,DCMSHRIRAM:EQ,12.5X,,96,ATLASCYCLE,,,,
97,DEN:EQ,3X,,97,ATNINTER,,,,
98,DHAMPURSUG:EQ,3X,,98,ATULAUTO,,,,
99,DELTACORP,3X,,99,AURIONPRO,,,,
100,DHFL:EQ,3X,,100,AUSOMENT,,,,
101,DIAMONDYD:EQ,4X,,101,AUSTRAL,,,,
102,DISHTV:EQ,3X,,102,AUTOLITIND,,,,
103,DIVISLAB:EQ,3X,,103,AVADHSUGAR,,,,
104,DIXON:EQ,8.3X,,104,AXISAEDGG,,,,
105,DLF:EQ,3X,,105,AXISCADES,,,,
106,DMART:EQ,8.3X,,106,AXISCAP,,,,
107,DREDGECORP:EQ,3X,,107,AXTEL,,,,
108,DRREDDY:EQ,3X,,108,BAFNAPHARM,,,,
109,ECLERX:EQ,5X,,109,BAGFILMS,,,,
110,EICHERMOT:EQ,3X,,110,BAJAJHIND,,,,
111,EIDPARRY:EQ,12.5X,,111,BALASORE,,,,
112,EIHOTEL:EQ,3X,,112,BALAXI,,,,
113,ELECTCAST:EQ,3X,,113,BALPHARMA,,,,
114,EMAMILTD:EQ,3X,,114,BANARBEDS,,,,
115,ENDURANCE:EQ,3X,,115,BANG,,,,
116,ENGINERSIN:EQ,3X,,116,BARTRONICS,,,,
117,EQUITAS:EQ,12.5X,,117,BASF,,,,
118,ERIS:EQ,5.6X,,118,BBL,,,,
119,ESCORTS:EQ,3X,,119,BCL,,,,
120,ESTER:EQ,12.5X,,120,BCPAL,,,,
121,EXIDEIND:EQ,3X,,121,BEARDSELL,,,,
122,FEDERALBNK:EQ,12.5X,,122,BEDMUTHA,,,,
123,FEL:EQ,12.5X,,123,BEPL,,,,
124,FINCABLES:EQ,3X,,124,BERLDRG,,,,
125,FORTIS:EQ,3X,,125,BESTSTEEL,,,,
126,FRETAIL:EQ,3X,,126,BF Utilities,,,,
127,GAIL:EQ,3X,,127,BFINVEST,,,,
128,GATI:EQ,12.5X,,128,BGRENERGY,,,,
129,GDL:EQ,3X,,129,BHAGERIA,,,,
130,GEPIL:EQ,3X,,130,BHAGYANGR,,,,
131,GESHIP:EQ,3X,,131,BHAGYNAGAR,,,,
132,GET&D:EQ,3X,,132,BHANDARI,,,,
133,GHCL:EQ,3X,,134,BHANDHOS,,,,
134,GICHSGFIN:EQ,3X,,135,BHARATGEAR,,,,
135,GICRE:EQ,3X,,136,BHARATIDIL,,,,
136,GILLETTE:EQ,3X,,137,BHARATWIRE,,,,
137,GLAXO:EQ,3X,,138,BIBCL,,,,
138,GLENMARK:EQ,3X,,139,BILENERGY,,,,
139,GLOBUSSPR:EQ,12.5X,,140,BINANIIND,,,,
140,GMBREW:EQ,3X,,141,BINNY,,,,
141,GMRINFRA:EQ,3X,,142,BINNYMILLS,,,,
142,GNA:EQ,5X,,143,BIOPAC,,,,
143,GNFC:EQ,3X,,144,BIRLACOT,,,,
144,GODFRYPHLP:EQ,3X,,145,BIRLAMONEY,,,,
145,GODREJAGRO:EQ,12.5X,,146,BITL,,,,
146,GODREJCP:EQ,3X,,147,BLBLIMITED,,,,
147,GODREJIND:EQ,12.5X,,148,BLOOM,,,,
148,GODREJPROP:EQ,12.5X,,149,BLS,,,,
149,GOLDBEES:EQ,3X,,150,BLUBLND-B,,,,
150,GPPL:EQ,10X,,151,BLUEBLENDS,,,,
151,GRANULES:EQ,3X,,152,BLUECHIP,,,,
152,GRASIM:EQ,3X,,153,BLUECOAST,,,,
